,invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country
9302,537197,22841,round cake tin vintage green,1,2010-12-05 14:02:00,0.0,12647.0,Germany
33576,539263,22580,advent calendar gingham sack,4,2010-12-16 14:36:00,0.0,16560.0,United Kingdom
40089,539722,22423,regency cakestand 3 tier,10,2010-12-21 13:45:00,0.0,14911.0,EIRE
47068,540372,22090,paper bunting retrospot,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
47070,540372,22553,plasters in tin skulls,24,2011-01-06 16:41:00,0.0,13081.0,United Kingdom
56674,541109,22168,organiser wood antique white ,1,2011-01-13 15:10:00,0.0,15107.0,United Kingdom
86789,543599,84535B,fairy cakes notebook a6 size,16,2011-02-10 13:08:00,0.0,17560.0,United Kingdom
130188,547417,22062,ceramic bowl with love heart design,36,2011-03-23 10:25:00,0.0,13239.0,United Kingdom
139453,548318,22055,mini cake stand  hanging strawbery,5,2011-03-30 12:45:00,0.0,13113.0,United Kingdom
145208,548871,22162,heart garland rustic padded,2,2011-04-04 14:42:00,0.0,14410.0,United Kingdom
157042,550188,22636,childs breakfast set circus parade,1,2011-04-14 18:57:00,0.0,12457.0,Switzerland
187613,553000,47566,party bunting,4,2011-05-12 15:21:00,0.0,17667.0,United Kingdom
198383,554037,22619,set of 6 soldier skittles,80,2011-05-20 14:13:00,0.0,12415.0,Australia
279324,561284,22167, oval wall mirror diamante ,1,2011-07-26 12:24:00,0.0,16818.0,United Kingdom
282912,561669,22960,jam making set with jars,11,2011-07-28 17:09:00,0.0,12507.0,Spain
285657,561916,M,manual,1,2011-08-01 11:44:00,0.0,15581.0,United Kingdom
298054,562973,23157,set of 6 nativity magnets ,240,2011-08-11 11:42:00,0.0,14911.0,EIRE
314745,564651,23270,set of 2 ceramic painted hearts ,96,2011-08-26 14:19:00,0.0,14646.0,Netherlands
314746,564651,23268,set of 2 ceramic christmas reindeer,192,2011-08-26 14:19:00,0.0,14646.0,Netherlands
314747,564651,22955,36 foil star cake cases ,144,2011-08-26 14:19:00,0.0,14646.0,Netherlands
314748,564651,21786,polkadot rain hat ,144,2011-08-26 14:19:00,0.0,14646.0,Netherlands
358655,568158,PADS,pads to match all cushions,1,2011-09-25 12:22:00,0.0,16133.0,United Kingdom
361825,568384,M,manual,1,2011-09-27 09:46:00,0.0,12748.0,United Kingdom
379913,569716,22778,glass cloche small,2,2011-10-06 08:17:00,0.0,15804.0,United Kingdom
395529,571035,M,manual,1,2011-10-13 12:50:00,0.0,12446.0,RSA
420404,572893,21208,pastel colour honeycomb fan,5,2011-10-26 14:36:00,0.0,18059.0,United Kingdom
436428,574138,23234,biscuit tin vintage christmas,216,2011-11-03 11:26:00,0.0,12415.0,Australia
436597,574175,22065,christmas pudding trinket pot ,12,2011-11-03 11:47:00,0.0,14110.0,United Kingdom
436961,574252,M,manual,1,2011-11-03 13:24:00,0.0,12437.0,France
439361,574469,22385,jumbo bag spaceboy design,12,2011-11-04 11:55:00,0.0,12431.0,Australia
446125,574879,22625,red kitchen scales,2,2011-11-07 13:22:00,0.0,13014.0,United Kingdom
446793,574920,22899,children's apron dolly girl ,1,2011-11-07 16:34:00,0.0,13985.0,United Kingdom
446794,574920,23480,mini lights woodland mushrooms,1,2011-11-07 16:34:00,0.0,13985.0,United Kingdom
454463,575579,22437,set of 9 black skull balloons,20,2011-11-10 11:49:00,0.0,13081.0,United Kingdom
454464,575579,22089,paper bunting vintage paisley,24,2011-11-10 11:49:00,0.0,13081.0,United Kingdom
479079,577129,22464,hanging metal heart lantern,4,2011-11-17 19:52:00,0.0,15602.0,United Kingdom
479546,577168,M,manual,1,2011-11-18 10:42:00,0.0,12603.0,Germany
480649,577314,23407,set of 2 trays home sweet home,2,2011-11-18 13:23:00,0.0,12444.0,Norway
485985,577696,M,manual,1,2011-11-21 11:57:00,0.0,16406.0,United Kingdom
502122,578841,84826,asstd design 3d paper stickers,12540,2011-11-25 15:57:00,0.0,13256.0,United Kingdom
